,Event,Time,Temperature,Time_subseconds,Date,Time_round,Time_in_seconds
129,TOUCH_OFF,17:45:19.550,0,63919.550797,2024-06-08,17:45:20,63920
130,TEMPERATURE_ON,17:45:19.257,1001,63919.257736,2024-06-08,17:45:19,63919
131,TEMPERATURE_OFF,17:45:19.550,1009,63919.550797,2024-06-08,17:45:20,63920
132,TOUCH_ON,17:45:21.427,0,63921.427277,2024-06-08,17:45:21,63921
133,TOUCH_OFF,17:45:23.652,0,63923.652878,2024-06-08,17:45:24,63924
134,TEMPERATURE_ON,17:45:21.427,1001,63921.427277,2024-06-08,17:45:21,63921
135,TEMPERATURE_OFF,17:45:23.652,1009,63923.652878,2024-06-08,17:45:24,63924
136,TOUCH_ON,17:45:24.789,0,63924.789993,2024-06-08,17:45:25,63925
137,TOUCH_OFF,17:45:25.145,0,63925.145645,2024-06-08,17:45:25,63925
138,TEMPERATURE_ON,17:45:24.789,1001,63924.789993,2024-06-08,17:45:25,63925
139,TEMPERATURE_OFF,17:45:25.145,1009,63925.145645,2024-06-08,17:45:25,63925
140,TOUCH_ON,17:45:29.039,0,63929.039856,2024-06-08,17:45:29,63929
141,TOUCH_OFF,17:45:29.397,0,63929.397583,2024-06-08,17:45:29,63929
142,TEMPERATURE_ON,17:45:29.039,1001,63929.039856,2024-06-08,17:45:29,63929
143,TEMPERATURE_OFF,17:45:29.397,1009,63929.397583,2024-06-08,17:45:29,63929
144,PUFF_ON,17:45:30.544,0,63930.544556,2024-06-08,17:45:31,63931
145,PUFF_OFF,17:45:31.898,0,63931.898514,2024-06-08,17:45:32,63932
146,TEMPERATURE_ON,17:45:30.544,1001,63930.544556,2024-06-08,17:45:31,63931
147,TEMPERATURE_OFF,17:45:31.898,1009,63931.898514,2024-06-08,17:45:32,63932
148,TOUCH_ON,17:45:30.287,0,63930.287933,2024-06-08,17:45:30,63930
149,TOUCH_OFF,17:45:34.523,0,63934.523239,2024-06-08,17:45:35,63935
150,TEMPERATURE_ON,17:45:30.287,1001,63930.287933,2024-06-08,17:45:30,63930
151,TEMPERATURE_OFF,17:45:34.523,1009,63934.523239,2024-06-08,17:45:35,63935
152,TOUCH_ON,17:45:36.545,0,63936.545502,2024-06-08,17:45:37,63937
153,TOUCH_OFF,17:45:37.004,0,63937.004349,2024-06-08,17:45:37,63937
154,TEMPERATURE_ON,17:45:36.545,1001,63936.545502,2024-06-08,17:45:37,63937
155,TEMPERATURE_OFF,17:45:37.004,1009,63937.004349,2024-06-08,17:45:37,63937
156,TOUCH_ON,17:45:37.791,0,63937.791107,2024-06-08,17:45:38,63938
157,TOUCH_OFF,17:45:38.146,0,63938.146301,2024-06-08,17:45:38,63938
